TNC	Tnc
LIPA	Lipa
COX16	Cox16
SMOC1	Smoc1
CPN1	Cpn1
HMGXB4	Hmgxb4
PALLD	Palld
TNFRSF1A	Tnfrsf1a
DARS	Dars
MALL	Mall
SRI	Sri
OR1N2	Olfr354
SKP2	Skp2
SHROOM4	Shroom4
NMRK1	Nmrk1
UEVLD	Uevld
NEDD8	Nedd8
VMP1	Vmp1
NEK1	Nek1
SNX9	Snx9
FBXO3	Fbxo3
RSBN1	Rsbn1
MRPS31	Mrps31
PRDX5	Prdx5
HHLA1	Hhla1
CAMK2D	Camk2d
UBFD1	Ubfd1
EMP1	Emp1
TMOD4	Tmod4
HIST1H2AB	Hist1h2ag
PARD3B	Pard3b
PDCD10	Pdcd10
ATP6V1B2	Atp6v1b2
PSMA4	Psma4
PTS	Pts
STON2	Ston2
HPSE2	Hpse2
USP9X	Usp9x
CAPRIN1	Caprin1
ADCY2	Adcy2
LALBA	Lalba
CLIP1	Clip1
PPP1CB	Ppp1cb
LY6G5B	Ly6g5b
BAZ1A	Baz1a
BMP5	Bmp5
CLVS2	Clvs2
USP50	Usp50
FBXL3	Fbxl3
BLOC1S2	Bloc1s2
SULF1	Sulf1
NEO1	Neo1
UAP1	Uap1
LAIR1	Lair1
ZFR	Zfr
RSF1	Rsf1
RPRD1A	Rprd1a
ITCH	Itch
SMC1A	Smc1a
CD93	Cd93
OR4C3	Olfr140
SETX	Setx
NR1D2	Nr1d2
ITGB1	Itgb1
AP1S2	Ap1s2
SEMA6D	Sema6d
APP	App
PTK2	Ptk2
CTNNA3	Ctnna3
ST5	St5
BTD	Btd
IL1RL1	Il1rl1
COTL1	Cotl1
CDH20	Cdh20
PLOD2	Plod2
HOXD11	Hoxd11
RAB27A	Rab27a
CEP78	Cep78
ARHGAP24	Arhgap24
GHRH	Ghrh
DERL1	Derl1
NME6	Nme6
SFMBT1	Sfmbt1
GOLM1	Golm1
ANK3	Ank3
MTA2	Mta2
THBD	Thbd
RASSF3	Rassf3
CCR10	Ccr10
EIF3M	Eif3m
MRPL49	Mrpl49
METTL22	Mettl22
SELPLG	Selplg
LSAMP	Lsamp
PTTG1IP	Pttg1ip
EID1	Eid1
RIOK3	Riok3
MAGT1	Magt1
TXNRD1	Txnrd1
TMEM123	Tmem123
DOK1	Dok1
OTP	Otp
KLHL32	Klhl32
ARL6IP1	Arl6ip1
TSPAN33	Tspan33
MAFB	Mafb
TCEAL8	Tceal8
TACSTD2	Tacstd2
ZNRF3	Znrf3
TRIM44	Trim44
TM2D2	Tm2d2
CCRL2	Ccrl2
UXS1	Uxs1
MRPL39	Mrpl39
COG5	Cog5
MARCH10	March10
PMVK	Pmvk
DIO2	Dio2
ANXA4	Anxa4
MS4A6A	Ms4a6d
C11orf42	Gm5901
NDUFA2	Ndufa2
DAG1	Dag1
STK33	Stk33
TAS2R3	Tas2r137
KLHL14	Klhl14
FRS2	Frs2
RILPL2	Rilpl2
TSPAN1	Tspan1
CAPS2	Caps2
ILF2	Ilf2
ZC3H12C	Zc3h12c
BCKDHB	Bckdhb
AGFG1	Agfg1
ZCRB1	Zcrb1
TBC1D13	Tbc1d13
VPS37B	Vps37b
USP6NL	Usp6nl
FIBIN	Fibin
SLC6A6	Slc6a6
MOSPD1	Mospd1
GRAMD4	Gramd4
ADRB1	Adrb1
LIMCH1	Limch1
CTNNAL1	Ctnnal1
NSFL1C	Nsfl1c
SRGAP1	Srgap1
OR8B8	Olfr145
RPAP3	Rpap3
ZUFSP	Zufsp
CMTM6	Cmtm6
FIG4	Fig4
TMEM86A	Tmem86a
TBC1D15	Tbc1d15
RPS6KA3	Rps6ka3
NAP1L3	Nap1l3
IARS	Iars
PPIG	Ppig
MAF	Maf
FN3K	Fn3k
IGF2	Igf2
CWC27	Cwc27
RAB2A	Rab2a
TREM1	Trem1
IPCEF1	Ipcef1
GNAI2	Gnai2
ATF6	Atf6
CXCL12	Cxcl12
TMEM64	Tmem64
IMP3	Imp3
SKAP2	Skap2
RNF114	Rnf114
TMEM47	Tmem47
MAN1A1	Man1a
GLUD1	Glud1
GATM	Gatm
C6orf163	Gm136
ZCCHC6	Zcchc6
FAM221A	Fam221a
VAPA	Vapa
NONO	Nono
TMEM61	Tmem61
GPR68	Gpr68
CARD6	Card6
LRP1	Lrp1
RIBC2	Ribc2
ARMC1	Armc1
SPC24	Spc24
USP54	Usp54
KIAA0355	4931406P16Rik
NEUROD2	Neurod2
SF3B2	Sf3b2
BMP2K	Bmp2k
HEY1	Hey1
ARMCX3	Armcx3
SEC14L2	Sec14l2
RAB22A	Rab22a
VPS39	Vps39
SIDT1	Sidt1
PIPOX	Pipox
DNAJC10	Dnajc10
ZFAND5	Zfand5
HIST1H4A	Hist1h4d
RPN2	Rpn2
PDE7B	Pde7b
THUMPD3	Thumpd3
GALNT7	Galnt7
AP1G1	Ap1g1
TAX1BP1	Tax1bp1
CYB5B	Cyb5b
GFRA2	Gfra2
B4GALT5	B4galt5
RARS	Rars
GRN	Grn
RALGAPB	Ralgapb
SPNS3	Spns3
LY86	Ly86
MTMR3	Mtmr3
BTC	Btc
PLEKHA5	Plekha5
NDN	Ndn
SNRNP200	Snrnp200
