TNC	Tnc
COQ5	Coq5
GCFC2	Gcfc2
SLC15A5	Slc15a5
RNF24	Rnf24
LHX2	Lhx2
CYBRD1	Cybrd1
KLF9	Klf9
FAU	Fau
ELMO2	Elmo2
CCDC154	Ccdc154
LAPTM4B	Laptm4b
STAT4	Stat4
TRIT1	Trit1
IMMT	Immt
NSF	Nsf
TRPC4AP	Trpc4ap
PNPLA7	Pnpla7
TET1	Tet1
PLA2G16	Pla2g16
TBXAS1	Tbxas1
AGTPBP1	Agtpbp1
CRYZL1	Cryzl1
TCF7L1	Tcf7l1
CALN1	Caln1
AP1G2	Ap1g2
SERINC5	Serinc5
NR2E1	Nr2e1
NME5	Nme5
EXOSC7	Exosc7
DENND4C	Dennd4c
NCKAP1	Nckap1
LRRTM2	Lrrtm2
STK40	Stk40
SIM2	Sim2
LURAP1L	Lurap1l
MAFG	Mafg
TBC1D14	Tbc1d14
STAC	Stac
RARB	Rarb
OSBP	Osbp
MARCH11	March11
SCAPER	Scaper
RPL22	Rpl22
RPSA	Rpsa
MOB1B	Mob1b
FANCG	Fancg
SLC25A20	Slc25a20
CACNA1B	Cacna1b
RBFOX2	Rbfox2
GIPC1	Gipc1
APOLD1	Apold1
SLC15A3	Slc15a3
MTTP	Mttp
ARL6IP4	Arl6ip4
ZNF454	Zfp454
ZCCHC14	Zcchc14
GEM	Gem
HELZ	Helz
SLC22A2	Slc22a2
FAM69A	Fam69a
P2RX3	P2rx3
CIB3	Cib3
OAS2	Oas2
MBNL2	Mbnl2
SYT11	Syt11
PEBP1	Pebp1
LDLRAP1	Ldlrap1
YES1	Yes1
PTPRO	Ptpro
GORAB	Gorab
MICAL2	Mical2
PIK3R3	Pik3r3
DDA1	Dda1
ACCSL	Accsl
LIN7B	Lin7b
SERPINB6	Serpinb6a
RTBDN	Rtbdn
SP3	Sp3
SUPT3H	Supt3
HRH1	Hrh1
PTGER3	Ptger3
PPRC1	Pprc1
PAK3	Pak3
GPRIN1	Gprin1
OR51I2	Olfr641
ADCY10	Adcy10
MYH1	Myh1
SLITRK6	Slitrk6
DNAH6	Dnah6
UTP20	Utp20
TMEM109	Tmem109
CSF3R	Csf3r
RAB3GAP1	Rab3gap1
POLR2F	Polr2f
MYH8	Myh8
MVP	Mvp
NRAS	Nras
NGRN	Ngrn
CAND2	Cand2
MICU1	Micu1
DCX	Dcx
EYA4	Eya4
CSMD3	Csmd3
PACS1	Pacs1
CYP17A1	Cyp17a1
BACE1	Bace1
CHMP4B	Chmp4b
PIK3C3	Pik3c3
BCAN	Bcan
CAPNS1	Capns1
KAT2B	Kat2b
CHD9	Chd9
NKX2-1	Nkx2-1
CAV1	Cav1
CD99L2	Cd99l2
ADHFE1	Adhfe1
CLVS1	Clvs1
RPS12	Rps12
DHCR24	Dhcr24
LEP	Lep
DGKE	Dgke
ZNF287	Zfp287
TGFB1	Tgfb1
ANXA13	Anxa13
EMC8	Emc8
RIC8A	Ric8a
MORC3	Morc3
IL1A	Il1a
MBNL1	Mbnl1
GNAL	Gnal
SYNCRIP	Syncrip
RBM41	Rbm41
ASF1A	Asf1a
ANGPTL7	Angptl7
AGPS	Agps
NDRG3	Ndrg3
PENK	Penk
SALL1	Sall1
PGD	Pgd
ZNF212	Zfp212
SLX4	Slx4
CCDC157	Ccdc157
CAMK1G	Camk1g
DBX1	Dbx1
METTL16	Mettl16
PDCD1LG2	Pdcd1lg2
SLC35A5	Slc35a5
VWA3A	Vwa3a
TRIB1	Trib1
RALYL	Ralyl
LRRC27	Lrrc27
CDK5R1	Cdk5r1
DBF4	Dbf4
MIS12	Mis12
CD72	Cd72
ADAM30	Adam30
OR5M3	Olfr1032
DMXL1	Dmxl1
ZNF25	Zfp9
C5orf51	AW549877
RABGAP1L	Rabgap1l
CDC42EP2	Cdc42ep2
RWDD1	Rwdd1
ARID5B	Arid5b
MYBPHL	Mybphl
ZNF205	Zfp13
EHD3	Ehd3
SCRN3	Scrn3
NDUFS1	Ndufs1
TMEM39B	Tmem39b
NUP214	Nup214
RNF19B	Rnf19b
ERI1	Eri1
HSPB11	Hspb11
LIG1	Lig1
TAS2R1	Tas2r119
CCNB3	Ccnb3
SUCNR1	Sucnr1
TAF6L	Taf6l
SLC2A2	Slc2a2
SNX21	Snx21
CCDC84	Ccdc84
GOLGB1	Golgb1
CDC25B	Cdc25b
ITPRIPL2	Itpripl2
PATE2	Pate2
TMEM247	Tmem247
AMPH	Amph
CYP11B1	Cyp11b2
ECT2	Ect2
C1orf162	I830077J02Rik
PNMT	Pnmt
PLCH1	Plch1
CSF1	Csf1
OPA1	Opa1
CCDC136	Ccdc136
MMADHC	Mmadhc
MAPKAPK5	Mapkapk5
C1orf185	4930522H14Rik
PSMB4	Psmb4
MYO10	Myo10
ARHGDIG	Arhgdig
KRT19	Krt19
NOP16	Nop16
LHX8	Lhx8
MAT2B	Mat2b
POLR2B	Polr2b
CHRNA1	Chrna1
ABHD12	Abhd12
NIF3L1	Nif3l1
HSCB	Hscb
ADAR	Adar
SLC4A5	Slc4a5
OTX2	Otx2
STAB2	Stab2
EXPH5	Exph5
UBE2S	Ube2s
PLEKHA2	Plekha2
DIRC2	Dirc2
GABRD	Gabrd
UCHL3	Uchl3
TFRC	Tfrc
SLC39A11	Slc39a11
GMPR2	Gmpr2
PPP2CA	Ppp2ca
DNASE1L2	Dnase1l2
GIMAP4	Gimap4
TOR3A	Tor3a
MAS1	Mas1
ACOT7	Acot7
DDAH2	Ddah2
EIF1AX	Eif1a
DNMT3B	Dnmt3b
SPOCK3	Spock3
HTR3B	Htr3b
PLCD1	Plcd1
FXR2	Fxr2
GTF2F2	Gtf2f2
HIST1H2BM	Hist1h2bn
MPPE1	Mppe1
METTL7B	Mettl7b
CABP4	Cabp4
LRRC8B	Lrrc8b
IDH3B	Idh3b
SLC7A6	Slc7a6
AAAS	Aaas
RBBP5	Rbbp5
ART3	Art3
NEGR1	Negr1
SLC12A8	Slc12a8
TRAP1	Trap1
SLC16A5	Slc16a5
USP9Y	Usp9y
TMEM8A	Tmem8
COPS7B	Cops7b
TCFL5	Tcfl5
TXNL4B	Txnl4b
THAP1	Thap1
SEL1L3	Sel1l3
CCDC70	Ccdc70
MCFD2	Mcfd2
SCTR	Sctr
ZYG11B	Zyg11b
SLC24A2	Slc24a2
TSPAN2	Tspan2
UCP2	Ucp2
PDXK	Pdxk
REXO2	Rexo2
ATP6V1A	Atp6v1a
CEP85L	Cep85l
CASP1	Casp1
KDM4C	Kdm4c
OTOL1	Otol1
FZD2	Fzd2
UBA6	Uba6
THNSL1	Thnsl1
CFH	Cfh
PLA2G4D	Pla2g4d
RRAGB	Rragb
TREML2	Treml2
S100A14	S100a14
SLC26A4	Slc26a4
RPL37A	Rpl37a
SLCO1A2	Slco1a5
TSPAN12	Tspan12
WDR82	Wdr82
FGF13	Fgf13
ZNF189	Zfp189
FAM208A	Fam208a
RAI2	Rai2
NANOS3	Nanos3
OR6P1	Olfr414
SRPK2	Srpk2
CYP4F12	Cyp4f14
CCR6	Ccr6
GCC2	Gcc2
CHAF1A	Chaf1a
ZNF445	Zfp445
PPFIBP1	Ppfibp1
POPDC2	Popdc2
ST7L	St7l
NFKB2	Nfkb2
TMEM106C	Tmem106c
UHMK1	Uhmk1
ZFP41	Zfp41
BTAF1	Btaf1
FAM124A	Fam124a
HOXC6	Hoxc6
SNAI2	Snai2
OR5B12	Olfr1445
C15orf61	2300009A05Rik
HIST1H2AC	Hist1h2ao
PQLC3	Pqlc3
SLC5A6	Slc5a6
ASB10	Asb10
TSPAN17	Tspan17
PDE2A	Pde2a
TMEM128	Tmem128
B3GNT5	B3gnt5
MYBL2	Mybl2
GALP	Galp
RBPMS2	Rbpms2
HAPLN4	Hapln4
YWHAH	Ywhah
GAPVD1	Gapvd1
SLC35D2	Slc35d2
ALKBH5	Alkbh5
DKK2	Dkk2
LRRN4CL	Lrrn4cl
LIMS1	Lims1
TTLL3	Ttll3
OR52A1	Olfr68
PDZK1IP1	Pdzk1ip1
GHITM	Ghitm
CD3G	Cd3g
IL2RB	Il2rb
NCK1	Nck1
HSPBAP1	Hspbap1
ARHGEF26	Arhgef26
AMN1	Amn1
SYT14	Syt14
FRMPD4	Frmpd4
DRAM2	Dram2
PHACTR1	Phactr1
PHLPP1	Phlpp1
CRK	Crk
CCS	Ccs
SLC22A24	Slc22a19
DNAAF1	Dnaaf1
MANBAL	Manbal
FAH	Fah
SEC24B	Sec24b
FPGT	Fpgt
CUL4B	Cul4b
DCAF7	Dcaf7
VAMP4	Vamp4
PANK1	Pank1
KIAA0930	5031439G07Rik
KCND3	Kcnd3
SLC22A18	Slc22a18
PBX4	Pbx4
DCK	Dck
ZBTB8OS	Zbtb8os
BIN3	Bin3
PDGFRA	Pdgfra
SYT2	Syt2
ZPBP2	Zpbp2
SNX14	Snx14
NUP210	Nup210
SLAIN1	Slain1
MYO1B	Myo1b
PREPL	Prepl
UGT8	Ugt8a
IQCD	Iqcd
PAPOLG	Papolg
LHCGR	Lhcgr
RRP1B	Rrp1b
ATP2C2	Atp2c2
SLC36A4	Slc36a4
ECD	Ecd
URB2	Urb2
SHROOM3	Shroom3
ADAL	Adal
VHL	Vhl
NDUFV2	Ndufv2
VWA2	Vwa2
LPIN3	Lpin3
USH1G	Ush1g
NCEH1	Nceh1
CD300E	Cd300e
ZFYVE16	Zfyve16
BRI3BP	Bri3bp
DMRTA1	Dmrta1
CAMSAP1	Camsap1
AVP	Avp
AIMP1	Aimp1
CCDC159	Ccdc159
ZMAT3	Zmat3
LRP1B	Lrp1b
JMY	Jmy
DUSP4	Dusp4
TLN1	Tln1
FBXO30	Fbxo30
OR4F15	Olfr1309
LAMB2	Lamb2
CLMP	Clmp
NFIX	Nfix
GPR4	Gpr4
LMAN2L	Lman2l
HNRNPF	Hnrnpf
MTMR9	Mtmr9
RTN4IP1	Rtn4ip1
BCHE	Bche
SRPRB	Srprb
TAF7L	Taf7l
MDM2	Mdm2
TMEM33	Tmem33
NDST3	Ndst3
ELF2	Elf2
MTR	Mtr
ATP1B1	Atp1b1
PPA1	Ppa1
MYOM1	Myom1
EID2	Eid2
NRIP1	Nrip1
C1orf198	2310022B05Rik
MTIF2	Mtif2
PTPN22	Ptpn22
CRMP1	Crmp1
CA3	Car3
TRAT1	Trat1
NCKAP5	Nckap5
TAC1	Tac1
GIPC2	Gipc2
FAM162B	Fam162b
ABO	Abo
NCSTN	Ncstn
TCTEX1D4	Tctex1d4
DDX4	Ddx4
FOSL2	Fosl2
SOX18	Sox18
VSTM4	Vstm4
ETS2	Ets2
TRMT1	Trmt1
LYZL1	Lyzl1
EXOC2	Exoc2
CLEC4F	Clec4f
PPARGC1A	Ppargc1a
TMEM132D	Tmem132d
FLRT3	Flrt3
EYA3	Eya3
ZNF250	Zfp647
ZC2HC1B	Zc2hc1b
NAGPA	Nagpa
OR13F1	Olfr275
NSUN7	Nsun7
FAM160B1	Fam160b1
NCOR2	Ncor2
CCDC88A	Ccdc88a
ZDHHC4	Zdhhc4
CLCC1	Clcc1
NSUN5	Nsun5
PPIP5K1	Ppip5k1
ARMC6	Armc6
BMS1	Bms1
FBXO8	Fbxo8
CBX3	Cbx3
PFN2	Pfn2
MSANTD3	Msantd3
BID	Bid
ZDHHC16	Zdhhc16
MAT2A	Mat2a
DNHD1	Dnhd1
CASD1	Casd1
SLC11A1	Slc11a1
USP10	Usp10
PSMB11	Psmb11
GTPBP1	Gtpbp1
MRPS16	Mrps16
CAB39	Cab39
PWWP2A	Pwwp2a
VNN1	Vnn1
LCN10	Lcn10
ANKRD13C	Ankrd13c
CERS2	Cers2
F11	F11
OGN	Ogn
INSIG1	Insig1
CCDC57	Ccdc57
PRKX	Prkx
CPSF7	Cpsf7
HBS1L	Hbs1l
WNK1	Wnk1
INSRR	Insrr
PSME4	Psme4
FOXS1	Foxs1
BYSL	Bysl
SPTBN2	Sptbn2
RAB26	Rab26
LIN52	Lin52
GPBP1	Gpbp1
PLEKHB2	Plekhb2
DGKZ	Dgkz
TNR	Tnr
MCM10	Mcm10
BBS7	Bbs7
KRT13	Krt13
MMP19	Mmp19
LRRC1	Lrrc1
FZD6	Fzd6
TAF5L	Taf5l
XIAP	Xiap
ATXN2	Atxn2
PLEKHA3	Plekha3
ARL11	Arl11
HUWE1	Huwe1
LMBR1L	Lmbr1l
RDM1	Rdm1
ZFAT	Zfat
YY1	Yy1
SLC25A46	Slc25a46
CYP2J2	Cyp2j6
AASDHPPT	Aasdhppt
CBX4	Cbx4
PACSIN1	Pacsin1
FAM46A	Fam46a
ADORA2B	Adora2b
RAB32	Rab32
FANCF	Fancf
ADAMTS15	Adamts15
QKI	Qk
MPZ	Mpz
PAPSS2	Papss2
KRTDAP	Krtdap
FAM189A1	Fam189a1
SNCG	Sncg
EXOSC1	Exosc1
KCNB2	Kcnb2
HSF2BP	Hsf2bp
SGSH	Sgsh
FLAD1	Flad1
MMP16	Mmp16
MYO1H	Myo1h
ZNF689	Zfp689
HAUS1	Haus1
CNTFR	Cntfr
TTC25	Ttc25
ACAA1	Acaa1a
IL18	Il18
ACTL7A	Actl7a
PACRG	Pacrg
DYRK1B	Dyrk1b
NMUR1	Nmur1
DRD2	Drd2
SYNGR2	Syngr2
ATRN	Atrn
SSBP3	Ssbp3
ARL13A	Arl13a
TNFSF13B	Tnfsf13b
AACS	Aacs
GOT1L1	Got1l1
LANCL2	Lancl2
IL22RA2	Il22ra2
ACTC1	Actc1
CHD2	Chd2
CREBRF	Crebrf
ZNF143	Zfp143
WNT2	Wnt2
TM2D3	Tm2d3
NBR1	Nbr1
EIF4H	Eif4h
RIMS4	Rims4
OR5R1	Olfr1038-ps
RHOBTB3	Rhobtb3
MUC13	Muc13
BEST3	Best3
C5orf15	9530068E07Rik
FAM173B	Fam173b
DAGLB	Daglb
CYP4F2	Cyp4f18
BAMBI	Bambi
ADAMTS7	Adamts7
AJUBA	Ajuba
NOV	Nov
EHD4	Ehd4
HS3ST5	Hs3st5
SIX1	Six1
PPAT	Ppat
C6orf222	4930539E08Rik
RPL27A	Rpl27a
GMFB	Gmfb
CDHR1	Cdhr1
BTBD6	Btbd6
RPS15	Rps15
CHML	Chml
ECHDC2	Echdc2
DSE	Dse
HACE1	Hace1
COPG1	Copg1
MGARP	Mgarp
EFCAB1	Efcab1
KLK12	Klk12
RBMS2	Rbms2
RAD51AP1	Rad51ap1
API5	Api5
IFT46	Ift46
ZDHHC17	Zdhhc17
STOML1	Stoml1
ZNF560	Zfp560
RAB5B	Rab5b
TSPAN5	Tspan5
HIVEP2	Hivep2
CEBPD	Cebpd
IL12RB1	Il12rb1
ZADH2	Zadh2
LYSMD3	Lysmd3
RAB19	Rab19
SHMT2	Shmt2
RABEP2	Rabep2
CNOT2	Cnot2
OR5AS1	Olfr1111
BAZ1B	Baz1b
KANSL2	Kansl2
ARMC3	Armc3
OR8K1	Olfr1046
NTSR1	Ntsr1
ST18	St18
A4GALT	A4galt
MAPK7	Mapk7
THOC7	Thoc7
ENOX1	Enox1
GNPDA2	Gnpda2
C11orf71	Gm5617
ITGA2B	Itga2b
AADACL3	Aadacl3
CDH17	Cdh17
HTR1D	Htr1d
CYS1	Cys1
DOCK7	Dock7
REV1	Rev1
PAICS	Paics
FRMD6	Frmd6
SLC30A9	Slc30a9
FOXR1	Foxr1
MGST3	Mgst3
DZIP1	Dzip1
ZNF717	Zfp39
EXOC1	Exoc1
XPOT	Xpot
ABCF1	Abcf1
CCT4	Cct4
SDCCAG8	Sdccag8
EML3	Eml3
LSG1	Lsg1
RPS6KA1	Rps6ka1
GLI2	Gli2
MAT1A	Mat1a
HNRNPR	Hnrnpr
MEPCE	Mepce
CPXM2	Cpxm2
ATF2	Atf2
TMEM132E	Tmem132e
MRPL42	Mrpl42
TRPC5	Trpc5
NUDT12	Nudt12
DTD1	Dtd1
EDDM3B	Eddm3b
CACNB3	Cacnb3
LRRC3	Lrrc3
MRPS35	Mrps35
AP3B2	Ap3b2
KRT82	Krt82
GALM	Galm
S100Z	S100z
BCL11A	Bcl11a
DRD5	Drd5
CABP5	Cabp5
SCG3	Scg3
SLC30A4	Slc30a4
MTMR10	Mtmr10
TRIM33	Trim33
SPATA24	Spata24
PPP1R7	Ppp1r7
SEPT9	Sept9
CCDC77	Ccdc77
PPP6R1	Ppp6r1
VPS33A	Vps33a
RBBP7	Rbbp7
PIWIL2	Piwil2
TMEM164	Tmem164
SLC10A6	Slc10a6
CALML4	Calml4
SLC17A9	Slc17a9
PSMD7	Psmd7
SS18L2	Ss18l2
LPAR5	Lpar5
COX19	Cox19
NRSN1	Nrsn1
RHBDF2	Rhbdf2
EDARADD	Edaradd
PROCR	Procr
LIG4	Lig4
VGLL3	Vgll3
MRPL40	Mrpl40
DYNLL1	Dynll1
KIAA1191	4833439L19Rik
PTPN12	Ptpn12
TSEN15	Tsen15
HEATR1	Heatr1
TMEM215	Tmem215
MIP	Mip
FGD5	Fgd5
RPS6KB1	Rps6kb1
NELL2	Nell2
ITIH5	Itih5
RNF149	Rnf149
SPAG5	Spag5
DNTTIP1	Dnttip1
BDH1	Bdh1
EGLN3	Egln3
KEAP1	Keap1
ITGB1BP2	Itgb1bp2
MRPL43	Mrpl43
FAM114A2	Fam114a2
GLB1	Glb1
MS4A1	Ms4a1
SORCS1	Sorcs1
LSM11	Lsm11
SAP30L	Sap30l
TREH	Treh
PCDHB1	Pcdhb1
TNNT2	Tnnt2
CCNH	Ccnh
EBAG9	Ebag9
RNF43	Rnf43
HERPUD2	Herpud2
SOX14	Sox14
MYH7	Myh7
VPS26A	Vps26a
TMEM178B	Tmem178b
FBXO34	Fbxo34
GPATCH8	Gpatch8
ZNF518A	Zfp518a
TUBGCP3	Tubgcp3
SLC25A36	Slc25a36
WIF1	Wif1
FBXW10	Fbxw10
UCHL5	Uchl5
PPARA	Ppara
NXF1	Nxf1
COL24A1	Col24a1
RPS27L	Rps27l
NBEAL1	Nbeal1
C5orf49	1700001L19Rik
TAF7	Taf7
IDH3G	Idh3g
STAT5B	Stat5b
PHF3	Phf3
SGK494	BC030499
NUDT13	Nudt13
KIF14	Kif14
SLC27A3	Slc27a3
ADA	Ada
UBR5	Ubr5
CHCHD6	Chchd6
KTI12	Kti12
STX6	Stx6
FAM217A	Fam217a
BCAM	Bcam
NEUROG1	Neurog1
MBLAC2	Mblac2
C8orf37	2610301B20Rik
PFN4	Pfn4
PDS5B	Pds5b
CHURC1	Churc1
GALNT10	Galnt10
CABP7	Cabp7
AK1	Ak1
RAP1GDS1	Rap1gds1
TAF3	Taf3
EPHB1	Ephb1
CNR1	Cnr1
ATP2A1	Atp2a1
SMYD5	Smyd5
ADK	Adk
PLCB2	Plcb2
HEXIM2	Hexim2
CRTAC1	Crtac1
SLC4A11	Slc4a11
GLP2R	Glp2r
SLC16A6	Slc16a6
ZC2HC1C	Zc2hc1c
CPSF6	Cpsf6
POLR2D	Polr2d
CTNND1	Ctnnd1
RGS22	Rgs22
LRRC72	Lrrc72
SYT6	Syt6
REV3L	Rev3l
GPBP1L1	Gpbp1l1
AKAP13	Akap13
USP11	Usp11
MRPL21	Mrpl21
CCL28	Ccl28
METTL7A	Mettl7a1
PRG3	Prg3
OLFM2	Olfm2
CLOCK	Clock
SNX29	Snx29
ITGB3	Itgb3
FAM103A1	Fam103a1
CBFB	Cbfb
CSRP1	Csrp1
SLAMF8	Slamf8
FIZ1	Fiz1
PTGES2	Ptges2
SNRPB	Snrpb
PTN	Ptn
KARS	Kars
VRTN	Vrtn
GIMAP6	Gimap6
NBN	Nbn
GUCY2C	Gucy2c
DTNB	Dtnb
SHISA5	Shisa5
RPL7L1	Rpl7l1
ENY2	Eny2
C9orf152	D630039A03Rik
CXXC1	Cxxc1
TANK	Tank
PEX2	Pex2
ASPDH	Aspdh
TAF11	Taf11
ANGPTL1	Angptl1
SCAMP5	Scamp5
TTF2	Ttf2
AURKB	Aurkb
PLEK	Plek
CAMK2G	Camk2g
TACC1	Tacc1
KRT79	Krt79
NPM3	Npm3
SUPT6H	Supt6
BTBD1	Btbd1
FERD3L	Ferd3l
RCE1	Rce1
USO1	Uso1
ALG8	Alg8
STK24	Stk24
FAM212A	Fam212a
MKL2	Mkl2
CD300LF	Cd300lf
SDC4	Sdc4
MMP8	Mmp8
DUS3L	Dus3l
COL6A1	Col6a1
NR1I2	Nr1i2
ID4	Id4
IQCC	Iqcc
EPG5	Epg5
IL1R1	Il1r1
ASPA	Aspa
TMPO	Tmpo
MRPS14	Mrps14
TMEM179B	Tmem179b
ASB17	Asb17
GLTPD2	Gltpd2
POU3F4	Pou3f4
FAM104A	Fam104a
DHRS1	Dhrs1
ADRA1A	Adra1a
POT1	Pot1a
C5orf24	B230219D22Rik
C12orf10	Myg1
HIST1H4D	Hist1h4m
CHRDL2	Chrdl2
PHB	Phb
SUPT7L	Supt7l
SGSM2	Sgsm2
SLC15A1	Slc15a1
ATP2C1	Atp2c1
RPS25	Rps25
ODF3	Odf3
BLMH	Blmh
SART3	Sart3
BLZF1	Blzf1
PHF5A	Phf5a
SNRPB2	Snrpb2
SLC41A1	Slc41a1
EHMT1	Ehmt1
SUMF2	Sumf2
SPATA6	Spata6
NKTR	Nktr
TNS4	Tns4
FLNA	Flna
ING3	Ing3
PAQR5	Paqr5
PAFAH1B1	Pafah1b1
MFAP3	Mfap3
WARS	Wars
CD53	Cd53
NEUROG2	Neurog2
GNL3L	Gnl3l
RHOV	Rhov
PIKFYVE	Pikfyve
PIGX	Pigx
TLK2	Tlk2
ZBTB7A	Zbtb7a
LRP4	Lrp4
XPC	Xpc
EPB42	Epb42
UTP3	Utp3
ZBTB44	Zbtb44
CGRRF1	Cgrrf1
GPR176	Gpr176
AP5M1	Ap5m1
GDE1	Gde1
GPN3	Gpn3
MRPL13	Mrpl13
RAPGEF2	Rapgef2
RNF38	Rnf38
MOSPD2	Mospd2
WNT3	Wnt3
STAMBP	Stambp
CD37	Cd37
FDXACB1	Fdxacb1
AARD	Aard
NPRL2	Nprl2
FUBP3	Fubp3
SHANK2	Shank2
MYO9B	Myo9b
DCUN1D2	Dcun1d2
MB21D2	Mb21d2
WNT8A	Wnt8a
LLGL1	Llgl1
LAX1	Lax1
SNAP29	Snap29
FEZ1	Fez1
PDXDC1	Pdxdc1
SLC22A16	Slc22a16
ZNF606	Zfp606
NKIRAS1	Nkiras1
LYVE1	Lyve1
TMEM120B	Tmem120b
DYNC1H1	Dync1h1
KLHL25	Klhl25
PTCD2	Ptcd2
C5AR1	C5ar1
ZNF330	Zfp330
RDH5	Rdh5
FLNC	Flnc
DHTKD1	Dhtkd1
MAN2B1	Man2b1
RASSF7	Rassf7
DNAI2	Dnaic2
PIGW	Pigw
TTC14	Ttc14
UNC45B	Unc45b
MAP2K1	Map2k1
PUS7	Pus7
PIGY	Pigyl
C11orf84	AI846148
INSL3	Insl3
MRPS27	Mrps27
FOXO6	Foxo6
TPRKB	Tprkb
NEK9	Nek9
ADAM28	Adam28
ANKRD29	Ankrd29
UBXN6	Ubxn6
KRT17	Krt17
USPL1	Uspl1
MEN1	Men1
ESYT1	Esyt1
VAPB	Vapb
NR3C1	Nr3c1
RASGRP2	Rasgrp2
ZNRD1	Znrd1
NUFIP2	Nufip2
SATL1	Satl1
JRK	Jrk
BPIFC	Bpifc
LDHA	Ldha
GDAP1L1	Gdap1l1
PSCA	Psca
SSR4	Ssr4
MON2	Mon2
AMT	Amt
RABL6	Rabl6
ZNF641	Zfp641
QRICH1	Qrich1
SLC16A1	Slc16a1
DLX3	Dlx3
RPTN	Rptn
SRPX2	Srpx2
PRR16	Prr16
ANXA11	Anxa11
AP2S1	Ap2s1
GYG1	Gyg
MARK3	Mark3
FBXO33	Fbxo33
RAB11FIP4	Rab11fip4
ZCCHC24	Zcchc24
SVEP1	Svep1
AQP5	Aqp5
NBEA	Nbea
PDILT	Pdilt
IGFBPL1	Igfbpl1
CST3	Cst3
VIPR2	Vipr2
OR7A17	Olfr19
CXCR2	Cxcr2
SERTAD4	Sertad4
CLCN4	Clcn4
NGDN	Ngdn
OR4F6	Olfr1310
SCNM1	Scnm1
AATF	Aatf
HOXA1	Hoxa1
FAM83G	Fam83g
CRLF3	Crlf3
SERPINA12	Serpina12
TFF1	Tff1
RGP1	Rgp1
ADAMTS4	Adamts4
RAD51AP2	Rad51ap2
GPR6	Gpr6
SHF	Shf
MPO	Mpo
ACTG2	Actg2
IKZF5	Ikzf5
ETV1	Etv1
PRRC1	Prrc1
CADM3	Cadm3
NCOA3	Ncoa3
KCMF1	Kcmf1
ORC6	Orc6
ZDHHC24	Zdhhc24
CPNE1	Cpne1
MED14	Med14
METRNL	Metrnl
CTXN3	Ctxn3
WNT10B	Wnt10b
PDE4B	Pde4b
SLC10A4	Slc10a4
PPIE	Ppie
ENPP5	Enpp5
FAM78A	Fam78a
RIPK4	Ripk4
TBX5	Tbx5
SSRP1	Ssrp1
NEIL1	Neil1
OLA1	Ola1
MAP1LC3B	Map1lc3b
CHCHD7	Chchd7
NSUN2	Nsun2
TRUB1	Trub1
WBP4	Wbp4
SERPINA5	Serpina5
ZBTB48	Zbtb48
NAPB	Napb
TBL1XR1	Tbl1xr1
ZFAND3	Zfand3
CACNA1F	Cacna1f
SRD5A3	Srd5a3
GTF3C3	Gtf3c3
C8orf48	AI429214
STAG1	Stag1
BRSK2	Brsk2
SLC22A3	Slc22a3
BCKDHA	Bckdha
RASL11B	Rasl11b
TPD52L2	Tpd52l2
ZFP14	Zfp14
OR1Q1	Olfr357
ENTPD1	Entpd1
CFB	Cfb
TOMM7	Tomm7
BTNL2	Btnl2
PAFAH1B2	Pafah1b2
TIMM8A	Timm8a1
SULT1B1	Sult1b1
ALDH5A1	Aldh5a1
XPO5	Xpo5
RFC1	Rfc1
TTC17	Ttc17
AUTS2	Auts2
RCN2	Rcn2
CDK12	Cdk12
RASAL2	Rasal2
OR10G3	Olfr1512
VAMP3	Vamp3
SLC44A2	Slc44a2
PTPDC1	Ptpdc1
SIDT2	Sidt2
TOM1L1	Tom1l1
PTPRT	Ptprt
POLR1C	Polr1c
HSF2	Hsf2
ZDHHC23	Zdhhc23
NAB2	Nab2
CGNL1	Cgnl1
DENND1B	Dennd1b
ZC3H12D	Zc3h12d
CD1D	Cd1d1
POFUT2	Pofut2
RER1	Rer1
FBXO43	Fbxo43
HOXA3	Hoxa3
FAM131B	Fam131b
BCAR1	Bcar1
RPL14	Rpl14
CCDC51	Ccdc51
NCR1	Ncr1
TESC	Tesc
FAM206A	Fam206a
STXBP3	Stxbp3
SPATA20	Spata20
DNAJC21	Dnajc21
ITGA4	Itga4
SON	Son
CHSY1	Chsy1
GABBR2	Gabbr2
DMXL2	Dmxl2
ENPP1	Enpp1
HOXC8	Hoxc8
FBXO4	Fbxo4
HTR7	Htr7
NCOA5	Ncoa5
PIK3CD	Pik3cd
OR2A12	Olfr446
ADAD1	Adad1
FAM53B	Fam53b
COBL	Cobl
SERGEF	Sergef
GSS	Gss
PSMB7	Psmb7
PPIH	Ppih
PRRX1	Prrx1
TEX28	Tex28
BZW2	Bzw2
UNC79	Unc79
AMMECR1L	Ammecr1l
NCBP1	Ncbp1
LRP5	Lrp5
RAP2A	Rap2a
TMEM132A	Tmem132a
IPO8	Ipo8
TM7SF3	Tm7sf3
SVOP	Svop
TAS1R1	Tas1r1
GSG1	Gsg1
IQSEC3	Iqsec3
PIGA	Piga
NAT8L	Nat8l
HSD17B1	Hsd17b1
PDE4DIP	Pde4dip
ZFP36	Zfp36
MARVELD3	Marveld3
LZTR1	Lztr1
LPAR2	Lpar2
ABCF2	Abcf2
TAF1D	Taf1d
CHGA	Chga
SREBF2	Srebf2
SOS1	Sos1
HHIPL1	Hhipl1
